gene,n_groups,F,pval,qval
Dda1,2,233.79980680628796,2.9314129272695554e-52,5.4288088894382606e-52
Ano8,2,413.7532343003881,2.2605024392703803e-90,5.741710010293352e-90
Gtpbp3,2,207.27060418133527,1.3912869680754379e-46,2.4499925038030524e-46
Plvap,2,360.38381621352653,3.8887431601294755e-79,9.014451721364982e-79
Bst2,2,93.23746991444534,5.63433429829123e-22,7.709962436585885e-22
Mvb12a,2,260.7483112861755,5.213002426288202e-58,1.016557923610378e-57
Slc27a1,2,64.92707293392988,8.549815722658016e-16,1.0941186695863071e-15
Pgls,2,70.17443180032649,6.06652965902676e-17,7.862583616851398e-17
Colgalt1,2,540.2961370047831,8.486225595847612e-117,2.5765956301742054e-116
Unc13a,2,6391.26640575888,0.0,0.0
Fcho1,2,905.4754245906066,1.8594875831339472e-191,8.683148617838274e-191
Zfp709,2,32.094804108334706,1.504030643405676e-08,1.769662387182564e-08
Zfp882,2,23.114362928597288,1.5460589195610086e-06,1.7694552500898762e-06
Zfp617,2,96.92640994715049,8.877052128556381e-23,1.2244707160267047e-22
Zfp961,2,561.1244476239264,4.049925307434431e-121,1.2655667213294068e-120
Cyp4f18,2,258.61001729100985,1.4885337343458028e-57,2.89191107656656e-57
Tpm4,2,12.770173705413699,0.00035365100229783284,0.0003893026916704831
Rab8a,2,136.66013491212163,2.165188568845831e-31,3.2807497511658416e-31
Fam32a,2,301.4438077678307,1.1568450394358764e-66,2.4329746115028557e-66
Ap1m1,2,339.58287025657586,9.63786557581476e-75,2.1589836078804038e-74
Klf2,2,127.75146817883787,1.8279509482608775e-29,2.709612143297224e-29
Eps15l1,2,879.7104083161535,2.89723966070427e-186,1.3136216138520295e-185
Calr3,2,3.420956550909111,0.0643996893644857,0.06752125504223323
1700030K09Rik,2,36.52415694159544,1.5552059231649536e-09,1.851364232781766e-09
Cherp,2,232.72975047646142,4.962768080219998e-52,9.174502123259182e-52
Slc35e1,2,118.30435784101248,2.0305692049641684e-27,2.951027290064541e-27
Med26,2,243.78068686423248,2.1657588318138827e-54,4.088336293963283e-54
Smim7,2,137.1382515983298,1.7067621934700874e-31,2.5887290795106817e-31
Tmem38a,2,2564.0057975115055,0.0,0.0
Nwd1,2,1271.4736776222796,4.763604543895273e-264,3.1095052438382214e-263
Sin3b,2,255.68592725917458,6.252328601277392e-57,1.210542071262145e-56
Large1,2,7213.302076927141,0.0,0.0
Hmgxb4,2,278.2048290950065,1.0017151272064042e-61,2.016792394837972e-61
Tom1,2,1.7713045292376792,0.1832474571681509,0.18913710646395882
Hmox1,2,0.9470539997530277,0.33049105624028774,0.3382602854104934
Rasd2,2,216.9016691437679,1.2045890625810564e-48,2.1578712681130252e-48
Iqcm,2,377.59280726397924,9.138157669447057e-83,2.1923831469757826e-82
Nr3c2,2,144.5429173386108,4.293986269633582e-33,6.642695534301625e-33
Arhgap10,2,4233.403120142683,0.0,0.0
Prmt9,2,393.3230248986335,4.454308083306264e-86,1.0959485782219216e-85
Tmem184c,2,277.3966146206013,1.4882091174119646e-61,2.9918355262578256e-61
Ednra,2,219.56759948878977,3.2380563494369598e-49,5.839075726901853e-49
Rbmxl1,2,257.10620539577553,3.113723505940024e-57,6.03808995070511e-57
